Curing (days),Cement (kg/m³),w/c,Coarse aggregate (kg/m³),Fine aggregate (kg/m³),CNT (%),Compressive strength (MPa)
23.186635834529305,357.7482495991893,0.4979841678048822,1030.2274918448688,844.4417186750195,1.0429009218355103,39.265714221709445
26.64615510282756,384.7957732251855,0.4361184156445234,894.1435573738945,798.5494085096651,0.0,45.50673987005046
28.31541596426764,357.2067030382047,0.5030386171764865,1034.2603522155996,847.3982833674241,1.317871282056577,35.53753025532814
27.852557170963273,356.9493834123731,0.7520209921586227,1020.9782929591124,854.1971718436733,2.116135879937865,15.175428696641308
28.0,380.0,0.55,951.3,756.8,0.05,52.1
30.143952350613283,427.3243899953153,0.4533407784932322,1162.504637892817,465.54464832102974,0.08831568492118058,51.3703128380025
58.95976626271269,377.9628382067148,0.5289066901265694,883.373894128977,557.5661151526875,0.0,43.52388824865747
25.616299194252623,423.1535723830584,0.4850349552027355,930.7785112380507,552.7667688035283,0.011241142598966272,45.36642721479011
28.0,380.0,0.55,952.0,757.0,0.5,47.3
56.0,425.0,0.47,1096.5,544.0,0.0,52.9
55.33817220781054,449.75304768024,0.47043333566028317,903.9475302007772,502.1278091288796,0.06353212225397967,52.16293554358592
28.0,400.0,0.53,1196.0,616.0,0.0,40.9
3.2107397350143483,409.27367065226514,0.4991409954064201,1134.0896921340911,612.5727369792116,0.0,25.139399203735817
27.78382634635714,303.6353422692569,0.5584028536719265,961.4963662086053,771.581299809366,0.0,41.808946287355866
55.68749053900618,427.3638877904301,0.4186766598133965,1041.0320547717508,416.84485548530444,0.0,58.628854916272815
27.74258270009924,425.5820840032565,0.48959044854868594,1176.0236066430714,587.1818337879973,0.0,45.64114880343182
27.511032185967697,375.3627098660547,0.5082176632196331,1217.328375859536,503.40019686951183,0.012923076058014736,41.99615255154663
29.170043239687306,525.2459983190822,0.4490593605043762,9.231371350559305,1585.0800290615045,0.22529975707552286,38.78246824936863
7.0,400.0,0.49,1105.0,654.0,10.0,46.08
27.73220085270367,379.3425114381503,0.5485296131083223,958.4131190361048,746.543142652942,0.08690187856051865,52.35054257240562
91.0,375.0,0.53,903.75,551.25,0.0,46.6
28.0,355.96,0.4,1032.3,848.38,0.75,42.63
